gene,logFC,pval,abs_logFC
209870_s_at,0.5961363000207838,1.4223712579294947e-05,0.5961363000207838
226378_s_at,0.9861890497082371,1.4225944339120593e-05,0.9861890497082371
209746_s_at,-0.5420546359199996,1.4226420525948537e-05,0.5420546359199996
243760_at,0.45394471859019436,1.4253889056212302e-05,0.45394471859019436
216309_x_at,0.6266617534411729,1.4269112883327831e-05,0.6266617534411729
219159_s_at,0.27588020713647055,1.4317693471051266e-05,0.27588020713647055
240353_s_at,0.21251203545097974,1.4318584824111497e-05,0.21251203545097974
228027_at,-1.0174789130560775,1.433818720362613e-05,1.0174789130560775
221015_s_at,-0.5421158286223529,1.4340684187415405e-05,0.5421158286223529
230078_at,-0.6944349848360796,1.4343218262877483e-05,0.6944349848360796
204180_s_at,-0.6590682616803916,1.4381186839589265e-05,0.6590682616803916
230875_s_at,-0.8689474093105876,1.4384601417863619e-05,0.8689474093105876
205366_s_at,0.6859533027258848,1.4390184441398956e-05,0.6859533027258848
1562144_at,0.5256446883937249,1.4390953398040284e-05,0.5256446883937249
1558385_at,0.9279446048415689,1.4409711259967895e-05,0.9279446048415689
205874_at,0.4292106832819611,1.4412909762720233e-05,0.4292106832819611
202103_at,0.7675185018247079,1.4420315510301707e-05,0.7675185018247079
234983_at,-0.5418114633078428,1.4431794176390988e-05,0.5418114633078428
209074_s_at,1.7547116528094113,1.4453287679172075e-05,1.7547116528094113
238852_at,-1.1129716905196076,1.4461330717226109e-05,1.1129716905196076
236297_at,-1.2045963998850984,1.4463713149196221e-05,1.2045963998850984
1554966_a_at,-1.571297076529019,1.4480805745243962e-05,1.571297076529019
242639_at,-0.7510646525564706,1.4487747291838773e-05,0.7510646525564706
228572_at,0.38042040997764737,1.4493146241926102e-05,0.38042040997764737
230912_at,0.23411731678705872,1.4496269232214363e-05,0.23411731678705872
237136_at,0.7323516570686275,1.4501875190934458e-05,0.7323516570686275
220159_at,-0.693223652452156,1.4509367418674786e-05,0.693223652452156
239644_at,-0.8423771434290188,1.4533129260492443e-05,0.8423771434290188
202259_s_at,-0.7015147053588242,1.453409312567905e-05,0.7015147053588242
225315_at,0.5802138861278436,1.454865100682615e-05,0.5802138861278436
215402_at,0.3914468158898039,1.4567103596363545e-05,0.3914468158898039
234177_at,0.2575205632533333,1.4577794088336966e-05,0.2575205632533333
224130_s_at,0.758703739182744,1.4583766513588559e-05,0.758703739182744
235467_s_at,0.8339739148019607,1.4586669244771645e-05,0.8339739148019607
214109_at,-0.9014599539239221,1.4586712838535682e-05,0.9014599539239221
208176_at,0.1963404565694118,1.4591720962834456e-05,0.1963404565694118
221951_at,0.8267167303615697,1.4596061965831338e-05,0.8267167303615697
224467_s_at,0.8717610075800017,1.4618425519852911e-05,0.8717610075800017
235418_at,0.5052250653411772,1.4632807945487787e-05,0.5052250653411772
208103_s_at,-1.2307115663788224,1.4649435060909392e-05,1.2307115663788224
216905_s_at,0.6977050084211793,1.4649668442889727e-05,0.6977050084211793
212788_x_at,0.39796971027058525,1.4657611687442462e-05,0.39796971027058525
219576_at,-0.7670419763568628,1.4671864830697425e-05,0.7670419763568628
219119_at,-0.5382254885827429,1.4690535792246841e-05,0.5382254885827429
235586_at,0.36318025014313626,1.4700659212407245e-05,0.36318025014313626
242007_at,-0.6944006432286276,1.470113309483594e-05,0.6944006432286276
1559436_x_at,1.0102060169850962,1.470456529888519e-05,1.0102060169850962
1553193_at,-0.41730371518156906,1.4706416044941268e-05,0.41730371518156906
226661_at,-1.620229082523923,1.4722906685302164e-05,1.620229082523923
226750_at,-1.1030547879074488,1.4723308474752652e-05,1.1030547879074488
232592_at,0.950120074913726,1.4759676022806402e-05,0.950120074913726
203360_s_at,-0.7075065799156883,1.4774880375432504e-05,0.7075065799156883
203440_at,-1.4676140976333336,1.4797192177492335e-05,1.4676140976333336
221919_at,-1.3170131509603902,1.4808578737223825e-05,1.3170131509603902
230452_at,0.4601275677129424,1.4813938301467648e-05,0.4601275677129424
1570362_at,0.2885367826466667,1.481635171007013e-05,0.2885367826466667
