sig_id,drug,pert_id,similarity_scores
CPC014_PC3_6H:BRD-K56957086-001-04-8:10,dacinostat,BRD-K56957086-001-04-8,0.02
CPC006_LOVO_6H:BRD-K04853698-003-01-4:10,LDN-193189,BRD-K04853698-003-01-4,0.02
CPC005_HCC515_6H:BRD-K53959060-001-01-3:10,indirubin,BRD-K53959060-001-01-3,0.02
CPC014_MCF7_6H:BRD-K52911425-001-02-3:10,GDC-0941,BRD-K52911425-001-02-3,0.02
CPC014_A549_24H:BRD-K63915849-001-01-1:10,AS-604850,BRD-K63915849-001-01-1,0.02
CPC006_SKLU1_6H:BRD-K28470988-001-01-2:10,L-690330,BRD-K28470988-001-01-2,0.02
CPC013_VCAP_24H:BRD-K64440589-001-01-3:10,SEW-05685,BRD-K64440589-001-01-3,0.02
CPC019_MCF7_24H:BRD-K33720404-001-01-9:10,BRD-K33720404,BRD-K33720404-001-01-9,0.02
CPC013_MCF7_24H:BRD-K29733039-001-01-1:10,deforolimus,BRD-K29733039-001-01-1,0.02
CPC005_A375_24H:BRD-A49225603-045-05-0:10,alimemazine,BRD-A49225603-045-05-0,0.02
CPC017_HT29_6H:BRD-K85318537-001-02-7:10,OBAA,BRD-K85318537-001-02-7,0.02
CRCGN004_HA1E_24H:BRD-K29458283-001-26-5:20.1UM,chlorambucil,BRD-K29458283-001-26-5,0.02
CPC014_PC3_24H:BRD-K53561341-001-02-6:10,KIN001-220,BRD-K53561341-001-02-6,0.02
CPC017_MCF7_6H:BRD-K51276371-001-02-6:10,aloisine,BRD-K51276371-001-02-6,0.02
CPC019_PC3_24H:BRD-K34363599-001-02-0:10,RJC-00245SC,BRD-K34363599-001-02-0,0.02
CPC017_MCF7_6H:BRD-K13533483-001-03-0:10,cyclosporin-a,BRD-K13533483-001-03-0,0.02
CPC003_PC3_24H:BRD-K92049597-001-10-9:10,triamterene,BRD-K92049597-001-10-9,0.02
CPC012_VCAP_24H:BRD-K81441552-001-01-3:10,BRD-K81441552,BRD-K81441552-001-01-3,0.02
CPC001_PC3_24H:BRD-K02590140-001-01-2:10,O-2050,BRD-K02590140-001-01-2,0.02
CPC019_HT29_6H:BRD-K74486276-001-01-2:10,BRD-K74486276,BRD-K74486276-001-01-2,0.02
CPD001_MCF7_6H:BRD-K32744045-001-23-9:10,disulfiram,BRD-K32744045-001-23-9,0.02
CPC009_MCF7_24H:BRD-K89224880-001-07-5:10,BRD-K89224880,BRD-K89224880-001-07-5,0.02
